station_1,station_2,dist
86118001,86149001,88.01117744925445
86118001,56081003,391.5285557918105
86118001,53215001,194.20864441950852
86118001,22135001,400.54681599285817
86118001,56178003,344.9859979172137
86118001,86092002,56.551054790180736
86118001,86096001,67.29361831198608
86118001,79253002,90.72746719202213
86118001,41173002,163.22988034289023
86118001,56251001,302.0024014590521
86118001,85119001,170.1966872575142
86118001,29278001,401.96500274099475
86118001,35238800,269.97594777635913
86118001,44051002,243.21718180494162
86118001,36088005,92.95298137045623
86118001,29236001,387.32283504564606
86118001,37249001,122.18391165247175
86118001,78465001,269.99651687299576
86118001,36088004,91.69856304836019
86118001,37122003,98.61857175760635
86118001,36085001,88.54542865788696
86118001,36146001,52.29597615549755
86118001,36006004,40.9479244331788
86118001,36037001,79.78042642611575
86118001,50615001,385.44892405575234
86118001,78140001,285.1957261311368
86118001,86272002,56.92752360036497
86118001,14577003,332.2295359346168
86118001,14126001,304.7551258151413
86118001,28134004,251.75824744179738
86118001,28002001,201.25133581526245
86118001,28280003,204.45576801569376
86118001,14047002,335.7103026676398
86118001,14066001,334.58765852482435
86118001,14137001,319.0668636714292
86118001,14216001,285.2982718905237
86118001,14229001,315.7276759040665
86118001,14239001,354.3701799189323
86118001,14296001,298.82552900205087
86118001,14357002,299.7200437915972
86118001,14366002,304.0468915425484
86118001,14372001,319.66445312403397
86118001,14501002,287.125264720395
86118001,14515001,345.0080099539093
86118001,14578001,326.5884867261285
86118001,14624001,288.8969042071079
86118001,14659001,301.1651229155761
86118001,14762004,299.16169209152895
86118001,17218001,154.1080626221127
86118001,22005003,401.038199852512
86118001,22016001,398.7862025556761
86118001,22092001,377.33704273079184
86118001,22108001,389.39755783000805
86118001,22113006,418.8566265444328
86118001,22147006,319.33939002979884
86118001,22168001,423.7301394783968
86118001,22219003,344.20563037228914
86118001,22247002,405.0971467893717
86118001,22261002,341.8633917900052
86118001,22266001,376.40475914549086
86118001,22282001,341.7715123605067
86118001,22372001,367.82370594376425
86118001,23025001,73.5960503072847
86118001,23089001,77.87176820075103
86118001,27056003,293.37201218662113
86118001,27100001,323.54072031893793
86118001,27112001,262.34901032747075
86118001,27347001,283.73284884449856
86118001,27422001,306.08783485389654
86118001,28041001,204.0756971029293
86118001,28064002,261.0711476363997
86118001,28070001,223.87962264793273
86118001,28078001,181.80817538328566
86118001,28190001,186.57978469460164
86118001,28190002,186.81395838995599
86118001,28196003,201.72596952442305
86118001,28198001,178.4949808050177
86118001,28206001,248.23799342979805
86118001,28214003,222.7304821368268
86118001,28215001,215.1322232792323
86118001,28239002,243.57141206277026
86118001,28252002,197.38144685920133
86118001,28305001,192.8424624520793
86118001,28322001,248.4010735615159
86118001,28380003,218.62466253950114
86118001,28406001,198.08763217482723
86118001,28406002,199.9171772403942
86118001,28407001,198.0172707153668
86118001,29021001,467.52575494210936
86118001,29022001,467.2212082560993
86118001,29041002,403.427840872416
86118001,29058003,404.93173998968587
86118001,29075001,459.08219691672605
86118001,29082001,451.4012705885155
86118001,29113001,426.691223009998
86118001,29120001,454.68153734924806
86118001,29151004,430.54099434130484
86118001,29155005,505.18209316514003
86118001,29155008,504.5781680870341
86118001,29158001,430.9610922162593
86118001,29163003,427.27230449777267
86118001,29168001,464.859273872683
86118001,29178001,482.48593737043353
86118001,29190001,479.52468797604706
86118001,29214001,435.4294054384141
86118001,29216001,422.4902463882903
86118001,29249002,400.81326990092225
86118001,29263002,428.7241478364158
86118001,29264001,447.5798850975907
